sex_id,education_level_id,region_id,average_income
2,0,1,5934
2,0,2,4729
2,0,3,6157
2,0,4,4590
2,0,5,3311
2,1,1,7344
2,1,2,6377
2,1,3,6266
2,1,4,5525
2,1,5,4372
2,2,1,7403
2,2,2,6428
2,2,3,6523
2,2,4,5953
2,2,5,5228
2,3,1,8199
2,3,2,7718
2,3,3,7331
2,3,4,6849
2,3,5,6065
2,4,1,11851
2,4,2,9889
2,4,3,10598
2,4,4,9275
2,4,5,8291
2,5,1,12055
2,5,2,13776
2,5,3,13120
2,5,4,17867
2,5,5,11445
1,0,1,5558
1,0,2,4372
1,0,3,5151
1,0,4,2662
1,0,5,2692
1,1,1,5729
1,1,2,4200
1,1,3,4178
1,1,4,3572
1,1,5,2790
1,2,1,5262
1,2,2,4189
1,2,3,4639
1,2,4,4058
1,2,5,3254
1,3,1,6229
1,3,2,5117
1,3,3,5440
1,3,4,5079
1,3,5,4062
1,4,1,9618
1,4,2,8301
1,4,3,8216
1,4,4,8255
1,4,5,6785
1,5,1,12792
1,5,2,11367
1,5,3,9776
1,5,4,10985
1,5,5,9919
