age,sex_id,state_id,expected_age,state_school_year
0,2,1,73.11258,9.749705
0,1,1,77.93766,9.749705
1,2,1,72.89308,9.749705
1,1,1,77.72196,9.749705
2,2,1,71.96721,9.749705
2,1,1,76.79072,9.749705
3,2,1,71.00584,9.749705
3,1,1,75.82623,9.749705
4,2,1,70.03129,9.749705
4,1,1,74.85056,9.749705
5,2,1,69.05155,9.749705
5,1,1,73.86922,9.749705
6,2,1,68.07031,9.749705
6,1,1,72.88432,9.749705
7,2,1,67.08588,9.749705
7,1,1,71.89597,9.749705
8,2,1,66.10004,9.749705
8,1,1,70.90615,9.749705
9,2,1,65.11346,9.749705
9,1,1,69.91682,9.749705
10,2,1,64.13049,9.749705
10,1,1,68.92976,9.749705
11,2,1,63.15485,9.749705
11,1,1,67.94555,9.749705
12,2,1,62.18635,9.749705
12,1,1,66.96709,9.749705
13,2,1,61.22439,9.749705
13,1,1,65.99249,9.749705
14,2,1,60.26635,9.749705
14,1,1,65.01875,9.749705
15,2,1,59.31379,9.749705
15,1,1,64.04932,9.749705
16,2,1,58.36568,9.749705
16,1,1,63.07957,9.749705
17,2,1,57.42055,9.749705
17,1,1,62.1129,9.749705
18,2,1,56.47852,9.749705
18,1,1,61.14428,9.749705
19,2,1,55.53978,9.749705
19,1,1,60.17601,9.749705
20,2,1,54.605,9.749705
20,1,1,59.20708,9.749705
21,2,1,53.67282,9.749705
21,1,1,58.23917,9.749705
22,2,1,52.74291,9.749705
22,1,1,57.27016,9.749705
23,2,1,51.81685,9.749705
23,1,1,56.30171,9.749705
24,2,1,50.89267,9.749705
24,1,1,55.33274,9.749705
25,2,1,49.97023,9.749705
25,1,1,54.366,9.749705
26,2,1,49.05013,9.749705
26,1,1,53.39824,9.749705
27,2,1,48.13057,9.749705
27,1,1,52.43163,9.749705
28,2,1,47.21297,9.749705
28,1,1,51.46658,9.749705
29,2,1,46.29768,9.749705
29,1,1,50.50085,9.749705
30,2,1,45.38506,9.749705
30,1,1,49.53706,9.749705
31,2,1,44.47373,9.749705
31,1,1,48.57411,9.749705
32,2,1,43.56524,9.749705
32,1,1,47.61303,9.749705
33,2,1,42.66,9.749705
33,1,1,46.65427,9.749705
34,2,1,41.75728,9.749705
34,1,1,45.6967,9.749705
35,2,1,40.85748,9.749705
35,1,1,44.74131,9.749705
36,2,1,39.96111,9.749705
36,1,1,43.79177,9.749705
37,2,1,39.06762,9.749705
37,1,1,42.84283,9.749705
38,2,1,38.17915,9.749705
38,1,1,41.89609,9.749705
39,2,1,37.29329,9.749705
39,1,1,40.95573,9.749705
40,2,1,36.41107,9.749705
40,1,1,40.01712,9.749705
41,2,1,35.53481,9.749705
41,1,1,39.0825,9.749705
42,2,1,34.66319,9.749705
42,1,1,38.15301,9.749705
43,2,1,33.79638,9.749705
43,1,1,37.22817,9.749705
44,2,1,32.93591,9.749705
44,1,1,36.30737,9.749705
45,2,1,32.08136,9.749705
45,1,1,35.3917,9.749705
46,2,1,31.23105,9.749705
46,1,1,34.48179,9.749705
47,2,1,30.3897,9.749705
47,1,1,33.57722,9.749705
48,2,1,29.55364,9.749705
48,1,1,32.67777,9.749705
49,2,1,28.72159,9.749705
49,1,1,31.78488,9.749705
50,2,1,27.89875,9.749705
50,1,1,30.89828,9.749705
51,2,1,27.08072,9.749705
51,1,1,30.01931,9.749705
52,2,1,26.27355,9.749705
52,1,1,29.14791,9.749705
53,2,1,25.47262,9.749705
53,1,1,28.28342,9.749705
54,2,1,24.68081,9.749705
54,1,1,27.4284,9.749705
55,2,1,23.89744,9.749705
55,1,1,26.58179,9.749705
56,2,1,23.12426,9.749705
56,1,1,25.74521,9.749705
57,2,1,22.36171,9.749705
57,1,1,24.9173,9.749705
58,2,1,21.60811,9.749705
58,1,1,24.10094,9.749705
59,2,1,20.86805,9.749705
59,1,1,23.29478,9.749705
60,2,1,20.13633,9.749705
60,1,1,22.50092,9.749705
