age,sex_id,region_id,expected_age
0,1,1,78.652
0,1,2,78.4426
0,1,3,78.16431
0,1,4,78.25539
0,1,5,77.91225
1,1,1,79.26527
1,1,2,79.14996
1,1,3,78.78124
1,1,4,78.99863
1,1,5,78.58968
2,1,1,79.31787
2,1,2,79.21014
2,1,3,78.84457
2,1,4,79.05849
2,1,5,78.66129
3,1,1,79.34283
3,1,2,79.23421
3,1,3,78.87794
3,1,4,79.08746
3,1,5,78.69911
4,1,1,79.35979
4,1,2,79.25241
4,1,3,78.90007
4,1,4,79.10756
4,1,5,78.71981
5,1,1,79.37372
5,1,2,79.26493
5,1,3,78.91981
5,1,4,79.12263
5,1,5,78.73718
6,1,1,79.38552
6,1,2,79.27604
6,1,3,78.9336
6,1,4,79.13599
6,1,5,78.75237
7,1,1,79.39527
7,1,2,79.28703
7,1,3,78.94572
7,1,4,79.14722
7,1,5,78.7664
8,1,1,79.40377
8,1,2,79.29794
8,1,3,78.95734
8,1,4,79.15602
8,1,5,78.7763
9,1,1,79.41161
9,1,2,79.30877
9,1,3,78.96882
9,1,4,79.16429
9,1,5,78.7851
10,1,1,79.42132
10,1,2,79.31953
10,1,3,78.98036
10,1,4,79.17461
10,1,5,78.79574
11,1,1,79.43447
11,1,2,79.33023
11,1,3,78.99363
11,1,4,79.18884
11,1,5,78.8129
12,1,1,79.45168
12,1,2,79.34804
12,1,3,79.00966
12,1,4,79.20695
12,1,5,78.83445
13,1,1,79.47132
13,1,2,79.36921
13,1,3,79.03068
13,1,4,79.22749
13,1,5,78.85841
14,1,1,79.4935
14,1,2,79.39279
14,1,3,79.05172
14,1,4,79.25027
14,1,5,78.88284
15,1,1,79.51735
15,1,2,79.41965
15,1,3,79.07621
15,1,4,79.27512
15,1,5,78.91116
16,1,1,79.54329
16,1,2,79.44508
16,1,3,79.1016
16,1,4,79.30138
16,1,5,78.93975
17,1,1,79.56946
17,1,2,79.4726
17,1,3,79.12549
17,1,4,79.32812
17,1,5,78.97116
18,1,1,79.59565
18,1,2,79.49861
18,1,3,79.1501
18,1,4,79.35526
18,1,5,79.0011
19,1,1,79.6222
19,1,2,79.52549
19,1,3,79.17859
19,1,4,79.38257
19,1,5,79.03209
20,1,1,79.64859
20,1,2,79.5519
20,1,3,79.20708
20,1,4,79.40984
20,1,5,79.061
21,1,1,79.67497
21,1,2,79.57997
21,1,3,79.23917
21,1,4,79.43684
21,1,5,79.0911
22,1,1,79.70135
22,1,2,79.6065
22,1,3,79.27016
22,1,4,79.46409
22,1,5,79.12012
23,1,1,79.72761
23,1,2,79.63257
23,1,3,79.30171
23,1,4,79.49135
23,1,5,79.14958
24,1,1,79.7543
24,1,2,79.65917
24,1,3,79.33274
24,1,4,79.51896
24,1,5,79.18032
25,1,1,79.78156
25,1,2,79.68716
25,1,3,79.366
25,1,4,79.54696
25,1,5,79.21158
26,1,1,79.80904
26,1,2,79.71476
26,1,3,79.39824
26,1,4,79.57566
26,1,5,79.24339
27,1,1,79.83732
27,1,2,79.74187
27,1,3,79.43163
27,1,4,79.60524
27,1,5,79.2764
28,1,1,79.86689
28,1,2,79.76933
28,1,3,79.46658
28,1,4,79.63581
28,1,5,79.30981
29,1,1,79.89722
29,1,2,79.80219
29,1,3,79.50085
29,1,4,79.66759
29,1,5,79.34285
30,1,1,79.92867
30,1,2,79.8345
30,1,3,79.53706
30,1,4,79.70047
30,1,5,79.3784
31,1,1,79.96127
31,1,2,79.868
31,1,3,79.57411
31,1,4,79.73502
31,1,5,79.41646
32,1,1,79.99578
32,1,2,79.90106
32,1,3,79.61303
32,1,4,79.77119
32,1,5,79.45419
33,1,1,80.03199
33,1,2,79.93803
33,1,3,79.65427
33,1,4,79.81011
33,1,5,79.49376
34,1,1,80.07026
34,1,2,79.97665
34,1,3,79.6967
34,1,4,79.85107
34,1,5,79.53736
35,1,1,80.11102
35,1,2,80.0168
35,1,3,79.74131
35,1,4,79.89503
35,1,5,79.58147
36,1,1,80.15426
36,1,2,80.06089
36,1,3,79.79177
36,1,4,79.94154
36,1,5,79.6303
37,1,1,80.20033
37,1,2,80.10488
37,1,3,79.84283
37,1,4,79.99131
37,1,5,79.68197
38,1,1,80.24975
38,1,2,80.15401
38,1,3,79.89609
38,1,4,80.04428
38,1,5,79.73594
39,1,1,80.30221
39,1,2,80.20781
39,1,3,79.95573
39,1,4,80.10026
39,1,5,79.7956
40,1,1,80.35812
40,1,2,80.26378
40,1,3,80.01712
40,1,4,80.16009
40,1,5,79.85706
41,1,1,80.41747
41,1,2,80.32449
41,1,3,80.0825
41,1,4,80.2233
41,1,5,79.92244
42,1,1,80.48135
42,1,2,80.38752
42,1,3,80.15301
42,1,4,80.29144
42,1,5,79.99194
43,1,1,80.54881
43,1,2,80.45396
43,1,3,80.22817
43,1,4,80.36357
43,1,5,80.06924
44,1,1,80.62115
44,1,2,80.52757
44,1,3,80.30737
44,1,4,80.43946
44,1,5,80.14714
45,1,1,80.69716
45,1,2,80.60398
45,1,3,80.3917
45,1,4,80.52179
45,1,5,80.22958
46,1,1,80.77869
46,1,2,80.68542
46,1,3,80.48179
46,1,4,80.60866
46,1,5,80.3202
