age,sex_id,expected_age
0,1,85.82351
1,1,86.22215
2,1,87.0217
3,1,88.0217
4,1,88.82125
5,1,87.68208
6,1,87.90221
7,1,88.12234
8,1,88.34247
9,1,88.5626
10,1,88.1531
11,1,88.16335
12,1,88.17361
13,1,88.18386
14,1,88.19411
15,1,88.18874
16,1,88.20301
17,1,88.21036
18,1,88.21771
19,1,88.22506
20,1,88.25317
21,1,88.26745
22,1,88.28172
23,1,88.29599
24,1,88.31026
25,1,88.344
26,1,88.36476
27,1,88.38552
28,1,88.40628
29,1,88.42704
30,1,88.45208
31,1,88.47427
32,1,88.49646
33,1,88.51865
34,1,88.54084
35,1,88.57099
36,1,88.59583
37,1,88.62067
38,1,88.64551
39,1,88.67035
40,1,88.7148
41,1,88.74617
42,1,88.77755
43,1,88.80893
44,1,88.8403
45,1,88.89816
46,1,88.93837
47,1,88.97857
48,1,89.01877
49,1,89.05898
50,1,89.14707
51,1,89.20324
52,1,89.2594
53,1,89.31557
54,1,89.37173
55,1,89.47249
56,1,89.54352
57,1,89.61455
58,1,89.68558
59,1,89.75661
60,1,89.88358
61,1,89.97325
62,1,90.06293
63,1,90.15261
64,1,90.24228
65,1,90.38439
66,1,90.49155
67,1,90.5987
68,1,90.70585
69,1,90.81301
70,1,91.36442
71,1,91.61966
72,1,91.8749
73,1,92.13014
74,1,92.38538
75,1,92.61682
76,1,92.86412
77,1,93.11143
78,1,93.35874
79,1,93.60604
80,1,95.6541
81,1,96.50166
82,1,97.34922
83,1,98.19678
84,1,99.04434
85,1,98.93423
86,1,99.46256
87,1,99.9909
88,1,100.5192
89,1,101.0476
90,1,101.2176
91,1,101.6265
92,1,102.0354
93,1,102.4442
94,1,102.8531
95,1,103.2731
96,1,103.6857
97,1,104.0983
98,1,104.5109
99,1,104.9235
100,1,104.79
0,2,83.27
1,2,83.95
2,2,84.84
3,2,85.84
4,2,86.73
5,2,85.51
6,2,85.73
7,2,85.96
8,2,86.18
9,2,86.4
10,2,85.98
11,2,85.99
12,2,86
13,2,86.01
14,2,86.02
15,2,86.02
16,2,86.04
17,2,86.05
18,2,86.06
19,2,86.07
20,2,86.11
21,2,86.12
22,2,86.14
23,2,86.16
24,2,86.18
25,2,86.24
26,2,86.28
27,2,86.31
28,2,86.35
29,2,86.38
30,2,86.41
31,2,86.44
32,2,86.47
33,2,86.5
34,2,86.53
35,2,86.58
36,2,86.61
37,2,86.65
38,2,86.69
39,2,86.72
40,2,86.77
41,2,86.81
42,2,86.85
43,2,86.89
44,2,86.93
45,2,87.02
46,2,87.07
47,2,87.12
48,2,87.18
49,2,87.23
50,2,87.34
51,2,87.42
52,2,87.49
53,2,87.56
54,2,87.64
55,2,87.82
56,2,87.93
57,2,88.03
58,2,88.14
59,2,88.25
60,2,88.55
61,2,88.72
62,2,88.89
63,2,89.06
64,2,89.23
65,2,89.62
66,2,89.87
67,2,90.11
68,2,90.36
69,2,90.6
70,2,91.44
71,2,91.88
72,2,92.32
73,2,92.76
74,2,93.2
75,2,93.92
76,2,94.45
77,2,94.98
78,2,95.52
79,2,96.05
80,2,97.1
81,2,97.81
82,2,98.51
83,2,99.22
84,2,99.92
85,2,99.86
86,2,100.31
87,2,100.76
88,2,101.21
89,2,101.66
90,2,101.85
91,2,102.21
92,2,102.57
93,2,102.93
94,2,103.29
95,2,103.71
96,2,104.09
97,2,104.47
98,2,104.85
99,2,105.23
100,2,105.05
